"rating","track_duration","loudness","speechiness","instrumentalness","liveness","tempo","track_explicit","danceability","energy","key","mode","acousticness","valence","time_signature","adult standards","brill building pop","dance pop","mellow gold","motown","pop","pop rap","rap","rock","soft rock","soul"
36,-0.796613828368973,-1.49183915973941,-0.503215494709954,-0.237218515830872,-0.504133608273244,-1.29926804603451,0,0.154,0.185,5,1,0.911,0.15,4,1,1,0,1,0,0,0,0,0,0,0
16,-0.709922620435692,-2.38175435232022,-0.447705616232936,5.18295520124051,-0.298342744618882,0.061517485552171,0,0.588,0.672,11,0,0.00256,0.801,4,0,0,0,0,0,0,0,0,0,0,0
70,-0.142647937650801,0.810591500256622,-0.512869386619001,-0.238208325098787,1.56001111504778,-0.977239706222024,0,0.759,0.699,0,0,0.202,0.907,4,0,0,1,0,0,1,0,0,0,0,0
64,-0.184538991148762,0.599115541584229,0.757824135909253,-0.239161744320087,0.0259337678061732,1.42445202174221,0,0.613,0.764,2,1,0.0527,0.417,4,0,0,0,0,0,1,0,0,0,0,0
19,-0.564263936502156,-0.926888332971926,-0.499595285244061,-0.238904830590988,-0.529077955382864,0.748697524217769,0,0.45,0.294,7,1,0.832,0.146,4,0,0,0,0,0,0,0,0,0,0,0
34,1.60863082663897,0.294911250247894,-0.483907710891861,-0.238171935052172,3.59921149125919,0.274448025001091,0,0.57,0.629,9,0,0.593,0.308,4,0,0,0,0,0,0,0,0,0,0,0
44,1.07821445273041,0.307367294934095,-0.564759055630126,-0.239161744320087,-0.726761906226599,-1.55804401702164,0,0.612,0.542,5,1,0.0781,0.433,4,0,0,0,0,0,0,0,0,0,0,0
34,-1.05357471416584,-1.11317540127889,-0.499595285244061,-0.237851702641965,-0.617006778944273,1.91886634748702,0,0.253,0.232,0,1,0.805,0.307,3,0,0,0,0,0,0,0,0,0,0,0
47,0.130429367339034,0.132982669327279,-0.506835704175846,-0.238682123505708,-0.547786215715078,0.919471756697576,0,0.575,0.434,5,1,0.735,0.348,4,0,0,0,0,0,1,0,0,0,0,0
26,0.308844527827226,-0.896717024732017,4.41423569646064,-0.239161744320087,0.743083747207738,2.63315966089826,0,0.615,0.497,7,1,0.016,0.769,3,0,0,0,0,0,0,0,0,0,0,0
30,3.23560370787541,0.99992337948688,0.769891500795561,-0.232560589864216,4.20411190866746,1.86621573470486,0,0.34,0.948,9,1,0.0941,0.604,4,1,1,0,1,0,0,0,0,0,1,0
55,-1.08810574229229,-0.834713602294038,-0.329445440347116,-0.239161744320087,0.662014619101474,0.692071252919411,0,0.518,0.432,10,0,0.401,0.701,4,1,1,0,1,0,0,0,0,0,0,0
28,-0.826286657930029,0.223496594047008,-0.456152771653352,-0.239139983072211,3.97337669790348,-0.106857025120558,0,0.418,0.532,7,1,0.461,0.504,3,0,0,0,0,0,0,0,0,0,0,0
39,-0.533427466566157,-0.892565009836616,-0.488734656846384,-0.239161744320087,0.474932015779327,-0.319572664109143,0,0.307,0.267,4,1,0.809,0.39,3,1,1,0,0,0,0,0,0,0,0,0
